MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1999 / 08,12,5738.5,,615.5
1999 / 09,12,5887.4,13.9,698.4
1999 / 09,07,6462.0,,710.0
1999 / 09,02,2440.3,,317.0
1999 / 10,05,1355.7,,139.6
1999 / 10,07,6397.0,,719.9
1999 / 12,04,2183.5,,327.9
2000 / 01,06,3484.3,,461.6
2000 / 01,01,819.8,,127.4
2000 / 01,10,2771.8,,162.7
2000 / 01,05,1281.2,,145.5
2000 / 02,04,1959.4,,251.7
2000 / 02,02,2314.2,,298.0
2000 / 02,08,5926.2,,744.3
2000 / 03,11,2874.8,,181.4
2000 / 05,12,6250.8,,635.1
2000 / 05,03,3927.2,,289.9
2000 / 05,04,2205.4,,279.1
2000 / 06,08,6176.2,,781.9
2000 / 06,06,3601.6,,468.2
2000 / 08,08,5795.7,,734.2
2000 / 08,11,3010.2,,151.3
2000 / 09,01,887.6,38.5,117.8
2000 / 09,08,6195.1,,773.0
2000 / 09,09,2932.6,,295.3
2000 / 10,07,6250.0,,717.9
2000 / 11,11,2739.0,,141.4
2000 / 12,04,2040.9,,296.7
2000 / 12,09,2808.9,,267.2
2001 / 01,03,3939.1,,281.6
2001 / 01,06,3814.7,,477.1
2001 / 01,05,1440.6,,144.1
2001 / 03,07,6057.7,,794.3
2001 / 03,12,5775.2,,706.3
2001 / 04,08,6050.3,,757.7
2001 / 04,10,2900.2,,169.0
2001 / 05,12,6356.5,,683.2
2001 / 06,11,3067.4,,188.9
2001 / 06,06,3494.6,3.0,470.9
2001 / 07,07,5630.3,3.2,717.3
2001 / 08,01,914.3,3.6,95.7
2001 / 08,02,2317.6,3.6,314.9
2001 / 08,03,3722.3,15.8,319.8
2001 / 09,01,1013.1,4.1,81.1
2001 / 09,02,2193.1,39.9,303.7
2001 / 10,01,873.9,3.8,92.3
2001 / 10,04,2243.1,10.7,288.1
2001 / 11,02,2487.7,12.8,337.8
2001 / 12,04,2158.9,6.4,283.1
2002 / 01,02,2456.2,16.5,350.2
2002 / 01,10,3072.7,17.4,178.8
2002 / 02,05,1241.5,,134.4
2002 / 02,12,5337.3,28.8,580.4
2002 / 03,11,2737.7,13.5,186.0
2002 / 03,09,2936.1,9.0,280.4
2002 / 03,08,5980.2,8.8,824.2
2002 / 04,01,909.1,1.7,100.9
2002 / 05,02,2564.7,11.0,326.1
2002 / 06,01,933.5,3.0,128.0
2002 / 07,12,6983.5,,
2002 / 07,09,3354.1,,
2002 / 07,03,3978.3,,
2002 / 08,07,6455.6,,
2002 / 08,01,1120.4,,
2002 / 09,07,6682.5,,
2002 / 09,02,2724.0,,
2002 / 09,10,3167.8,,
2002 / 10,11,3140.2,,
2002 / 11,02,2927.8,,
2002 / 11,11,3049.4,,
2002 / 11,08,7565.8,,
2003 / 03,08,7002.9,,
2003 / 03,09,3211.8,,
2003 / 03,11,2885.5,,
2003 / 03,01,1200.6,,
2003 / 05,11,3053.6,6.5,
2003 / 05,08,7649.6,,
2003 / 05,12,6828.3,24.6,
2003 / 06,04,2496.5,,
2003 / 07,03,3710.3,,
2003 / 07,11,2821.8,,
2003 / 08,05,1620.3,,
2003 / 08,02,2887.4,,
2003 / 09,05,1648.6,,
2003 / 09,09,3582.2,,
2003 / 10,01,1273.2,,
2003 / 10,05,1601.8,,
2003 / 11,02,2818.9,,
2003 / 12,09,3535.2,,
2003 / 12,01,1351.7,,
2004 / 01,03,3454.5,,
2004 / 01,01,1280.7,,
2004 / 01,02,2905.6,,
2004 / 02,09,2953.1,,
2004 / 03,09,3436.3,,
2004 / 03,08,7414.9,,
2004 / 03,05,1682.3,,
2004 / 05,09,3180.6,282.1,191.5
2004 / 05,03,3184.2,367.2,233.5
2004 / 06,10,3335.3,164.8,139.9
2004 / 06,01,1247.8,332.7,108.8
2004 / 07,07,5913.4,1422.7,652.2
2004 / 07,06,3824.5,999.6,464.5
2004 / 08,08,6039.0,1424.7,577.9
2004 / 09,07,6134.3,1615.5,616.2
2004 / 09,05,1517.0,324.6,120.6
2004 / 10,05,1534.4,391.3,142.0
2004 / 10,11,2497.7,205.8,162.3
2004 / 11,03,3298.6,333.4,196.5
2004 / 11,05,1586.4,326.1,116.7
2005 / 01,09,3006.0,276.9,180.3
2005 / 01,01,1178.4,440.9,168.3
2005 / 02,12,5524.1,381.3,429.1
2005 / 02,04,1984.9,537.8,277.8
2005 / 02,03,2893.5,330.0,230.8
2005 / 02,07,5435.6,1392.0,629.4
2005 / 03,08,6980.9,1813.8,699.7
2005 / 03,12,6335.0,444.0,447.1
2005 / 04,12,6051.1,439.0,461.0
2005 / 04,11,2539.8,189.5,145.6
2005 / 04,06,3684.7,1011.6,440.1
2005 / 04,04,2213.1,619.7,306.9
2005 / 05,11,2588.3,153.7,117.0
2005 / 05,01,1151.6,342.5,129.8
2005 / 05,02,2499.6,586.2,269.2
2005 / 05,06,3662.4,910.8,412.1
2005 / 07,01,1164.1,384.4,152.6
2005 / 08,06,3754.0,814.5,405.5
2005 / 08,11,2777.6,143.4,126.2
2005 / 08,05,1546.5,264.7,126.0
2005 / 09,02,2435.6,620.2,280.8
2005 / 10,03,3274.7,401.0,237.9
2005 / 10,09,3269.3,319.0,198.1
2005 / 11,12,6271.4,380.3,403.9
2005 / 11,10,3087.7,146.4,116.2
2005 / 12,09,3181.7,329.9,223.5
2005 / 12,11,2600.2,209.3,144.5
2006 / 01,03,3202.3,338.8,230.8
2006 / 01,11,2632.1,157.4,116.1
2006 / 01,06,3811.2,808.3,427.0
2006 / 03,11,2471.0,174.4,144.9
2006 / 06,03,3306.0,386.5,262.7
2006 / 07,08,5916.6,1115.8,614.4
2006 / 07,04,2255.7,435.1,285.8
2006 / 09,10,3009.9,191.2,159.5
2006 / 09,11,2640.3,188.3,143.4
2006 / 09,07,6004.8,1265.0,601.8
2006 / 09,04,2278.5,528.2,324.4
2006 / 09,01,1131.3,414.4,157.9
2006 / 10,08,6918.7,1269.2,643.1
2006 / 11,07,6289.0,1245.5,625.2
2006 / 12,10,2871.8,212.8,150.0
2006 / 12,03,3032.9,369.6,240.5
2007 / 01,12,5930.0,415.7,401.2
2007 / 01,06,3742.1,667.4,441.3
2007 / 02,07,5265.8,886.1,557.4
2007 / 02,06,3210.2,584.1,390.3
2007 / 03,01,1144.2,404.8,168.3
2007 / 03,04,2202.7,513.6,334.9
2007 / 03,06,3620.5,691.8,460.8
2007 / 04,10,2785.6,164.1,114.1
2007 / 04,08,6220.1,1009.1,615.5
2007 / 05,06,3834.5,667.4,439.7
2007 / 05,02,2656.6,461.2,273.8
2007 / 05,07,6118.9,985.6,607.4
2007 / 05,03,3257.3,351.7,251.1
2007 / 06,03,3277.0,339.3,245.3
2007 / 06,10,3036.4,208.4,146.7
2007 / 06,12,5940.1,453.0,405.9
2007 / 07,11,2435.8,144.6,111.1
2007 / 08,06,3406.2,934.0,435.5
2007 / 08,08,5979.9,1551.3,605.9
2007 / 09,07,5562.0,1407.5,549.2
2007 / 09,08,6252.7,1656.0,627.4
2007 / 09,03,3063.4,328.1,223.6
2007 / 09,02,2406.7,556.1,256.8
2007 / 10,01,1236.1,419.1,156.8
2007 / 12,05,1536.5,380.9,156.6
2007 / 12,04,2218.8,545.8,295.4
2008 / 01,12,5665.8,495.4,402.5
2008 / 01,10,2927.2,197.6,130.8
2008 / 02,12,5198.5,388.0,353.7
2008 / 02,05,1400.3,319.0,162.1
2008 / 04,09,2840.8,259.5,170.0
2008 / 05,09,2950.3,330.2,203.8
2008 / 06,08,5973.5,1447.0,638.7
2008 / 06,09,2820.3,263.2,162.1
2008 / 06,11,2290.1,168.7,107.6
2008 / 06,12,5630.1,401.5,338.5
2008 / 07,07,5355.4,1170.4,579.6
2008 / 07,03,3166.2,353.1,259.3
2008 / 08,06,3026.4,734.8,395.6
2008 / 08,04,2074.4,479.7,304.7
2008 / 08,12,5430.8,420.9,380.7
2008 / 08,05,1358.3,327.4,155.0
2008 / 09,02,2393.4,562.8,261.9
2008 / 09,05,1448.7,312.4,140.9
2008 / 10,12,5567.9,466.7,410.9
2008 / 10,05,1442.1,347.2,168.5
2008 / 11,07,5487.1,1374.0,620.1
2008 / 12,04,2203.1,520.0,321.6
2008 / 12,02,2418.1,609.1,314.1
2008 / 12,08,6305.3,1810.5,748.1
2009 / 01,12,5168.7,527.8,496.9
2009 / 01,08,5916.4,1562.5,818.5
2009 / 02,11,1933.5,144.4,115.2
2009 / 04,12,5292.0,435.2,423.3
2009 / 05,09,2785.9,311.4,215.3
2009 / 06,09,2904.0,260.6,172.6
2009 / 06,02,2334.7,519.6,291.3
2009 / 07,03,3134.8,373.9,298.6
2009 / 08,10,3024.9,187.2,151.4
2009 / 09,09,2755.1,271.1,182.1
2009 / 09,05,1350.2,281.3,148.4
2009 / 10,07,5558.9,1359.5,687.6
2009 / 10,05,1393.0,358.2,192.2
2009 / 11,09,2605.7,235.6,164.4
2009 / 11,04,2082.7,413.6,281.2
2009 / 12,02,2341.7,614.3,331.9
2009 / 12,07,5638.4,1468.6,720.4
2010 / 01,05,1292.0,329.3,195.1
2010 / 02,04,1777.6,342.4,263.7
2010 / 02,08,4606.9,1008.8,562.8
2010 / 03,07,5801.9,1284.3,688.0
2010 / 05,10,2793.7,186.5,144.4
2010 / 06,03,3323.0,371.4,274.9
2010 / 06,11,2381.7,161.8,115.6
2010 / 07,12,5452.7,438.7,432.9
2010 / 07,02,2080.9,436.6,277.5
2010 / 08,02,2095.8,443.0,264.0
2010 / 09,10,2931.0,220.9,153.5
2010 / 10,03,3050.5,352.6,262.8
2010 / 10,11,2162.9,169.7,111.6
2010 / 10,12,5274.1,409.0,370.2
2010 / 12,12,4135.0,419.7,371.8
2010 / 12,07,4353.7,1269.4,587.0
2011 / 02,10,2769.3,198.5,148.8
2011 / 03,03,3071.3,335.8,267.3
2011 / 03,01,1216.2,398.7,192.2
2011 / 04,07,5284.5,1203.0,637.1
2011 / 04,02,2156.0,447.4,273.1
2011 / 05,02,2251.9,467.3,283.7
2011 / 05,11,2339.0,159.4,116.6
2011 / 05,10,2940.8,192.8,138.2
2011 / 06,08,5924.0,1146.2,651.2
2011 / 07,11,2237.8,151.5,117.2
2011 / 08,07,5375.1,993.9,536.4
2011 / 08,12,5693.6,417.1,370.0
2011 / 08,04,2374.8,390.6,289.3
2011 / 09,03,3178.2,388.5,257.1
2011 / 09,05,1348.8,278.3,152.4
2011 / 10,06,3033.7,492.4,341.0
2011 / 10,05,1364.2,231.4,140.9
2011 / 10,07,5416.5,1118.0,620.2
2011 / 11,07,5585.6,1093.5,585.0
2012 / 03,01,1194.4,341.6,210.8
2012 / 03,11,2171.1,163.1,116.2
2012 / 03,09,2510.3,259.0,196.7
2012 / 03,07,5144.5,981.8,632.0
2012 / 03,04,2126.7,420.3,337.0
2012 / 03,10,2730.0,197.1,152.9
2012 / 04,05,1252.2,192.1,133.6
2012 / 05,10,2958.4,223.3,163.0
2012 / 05,06,3133.4,503.2,353.9
2012 / 06,03,3144.5,323.3,246.6
2012 / 06,08,5702.3,1162.3,641.6
2012 / 06,12,5198.4,415.2,364.7
2012 / 06,09,2583.3,279.5,190.7
2012 / 07,03,3096.0,266.5,219.2
2012 / 07,02,2043.5,375.4,256.1
2012 / 08,12,5314.7,422.7,386.3
2012 / 09,10,2703.8,195.6,132.0
2012 / 09,05,1260.1,260.8,135.3
2012 / 11,10,2935.8,220.5,163.8
2012 / 11,09,2609.9,257.4,198.3
2012 / 12,04,2219.5,538.2,313.2
2012 / 12,08,5784.6,1292.4,665.7
2013 / 01,04,2226.6,481.2,328.2
2013 / 03,01,1197.0,348.7,203.5
2013 / 04,11,2178.1,158.6,124.8
2013 / 05,05,1371.8,244.3,154.1
2013 / 06,08,5609.6,1102.0,633.6
2013 / 06,05,1307.2,206.8,132.7
2013 / 06,01,1275.5,325.7,188.5
2013 / 07,07,5184.0,884.5,577.2
2013 / 07,06,2990.8,406.7,310.4
2013 / 08,10,2956.2,209.2,161.3
2013 / 08,08,5108.9,914.7,584.0
2013 / 10,02,2165.3,446.1,294.7
2013 / 11,04,2310.1,434.5,328.7
2013 / 11,10,2774.0,200.0,150.8
2013 / 12,06,2940.1,533.5,369.8
2013 / 12,10,2862.1,246.1,176.0
2013 / 12,07,5383.7,1223.2,705.8
2014 / 01,10,2771.1,238.2,204.2
2014 / 01,02,2123.8,434.7,318.0
2014 / 02,02,1936.8,362.6,262.5
2014 / 02,08,4869.7,948.4,620.4
2014 / 03,07,4985.2,930.2,638.8
2014 / 03,12,4927.9,372.8,377.3
2014 / 04,03,2990.2,305.1,257.3
2014 / 05,08,5799.1,1267.2,727.3
2014 / 05,11,2309.1,188.5,147.4
2014 / 05,09,2712.0,329.8,246.3
2014 / 06,06,2822.8,523.0,334.6
2014 / 07,10,2998.8,247.3,198.6
2014 / 08,07,4722.2,910.4,597.1
2014 / 08,09,2419.1,285.5,216.8
2014 / 10,07,5366.6,1184.0,699.4
2014 / 10,08,5675.7,1235.0,748.6
2014 / 10,09,2518.6,288.8,228.9
2014 / 10,05,1347.4,270.9,168.0
2014 / 12,12,5279.7,542.5,497.6
2014 / 12,11,2358.8,265.3,195.8
2014 / 12,06,3028.8,577.1,389.3
2015 / 01,04,2214.7,474.1,390.4
2015 / 01,01,1303.2,378.8,256.1
2015 / 01,07,5008.5,1083.9,753.6
2015 / 02,10,2324.4,211.9,195.5
2015 / 02,02,1825.9,437.6,328.2
2015 / 03,11,2235.3,197.6,167.5
2015 / 04,12,4719.3,468.7,498.0
2015 / 04,04,2145.6,430.5,369.2
2015 / 04,05,1249.9,261.0,159.9
2015 / 05,01,1352.6,335.6,223.4
2015 / 06,08,5680.3,1166.8,707.0
2015 / 06,01,1412.6,341.4,218.7
2015 / 06,12,5221.2,471.0,454.4
2015 / 06,09,2575.4,267.6,220.2
2015 / 06,04,2460.1,445.1,335.8
2015 / 07,03,3113.4,368.5,318.8
2015 / 08,02,1861.3,387.2,268.3
2015 / 08,09,2343.3,261.4,231.1
2015 / 08,12,4744.3,425.8,441.4
2015 / 10,09,2438.5,303.5,266.7
2015 / 11,07,5076.7,1138.9,677.4
2015 / 11,02,2059.7,458.7,290.2
2015 / 12,07,5304.3,1459.9,826.2
2016 / 01,05,1193.2,227.4,151.1
2016 / 02,12,4456.3,478.8,541.7
2016 / 02,04,2130.9,450.5,381.3
2016 / 03,01,1344.2,380.7,222.7
2016 / 03,12,4926.9,476.1,560.6
2016 / 03,02,1993.7,488.6,339.5
2016 / 04,03,2904.8,328.3,318.7
2016 / 05,05,1314.9,275.1,174.0
2016 / 06,01,1397.4,361.8,228.8
2016 / 07,08,4669.1,1047.0,713.2
2016 / 07,11,2161.5,203.0,183.9
2016 / 07,01,1242.2,357.1,211.0
2016 / 08,06,2838.0,459.7,357.1
2016 / 09,08,5124.8,1252.4,744.9
2016 / 09,03,2934.1,372.8,322.7
2016 / 10,02,2042.4,477.6,319.3
2016 / 10,06,2907.6,553.1,393.9
2016 / 10,11,2233.8,203.3,188.3
2016 / 11,07,5135.6,1161.2,735.6
2016 / 11,05,1342.0,290.8,185.7
2017 / 01,02,1972.6,496.5,335.0
2017 / 01,12,4901.0,465.2,508.1
2017 / 02,08,4725.9,990.2,712.9
2017 / 02,11,1965.6,182.6,173.2
2017 / 02,09,2065.8,229.7,234.5
2017 / 03,01,1352.5,414.2,247.9
2017 / 04,12,4626.3,435.6,467.4
2017 / 05,06,3033.7,502.9,391.9
2017 / 06,02,2022.3,441.9,310.1
2017 / 07,07,4632.1,973.9,709.1
2017 / 08,07,4754.7,997.3,720.0
2017 / 08,12,4996.5,494.5,530.3
2017 / 10,04,2423.1,431.9,356.8
2017 / 10,11,2245.2,197.3,175.2
2017 / 10,06,2944.2,511.1,377.8
2017 / 10,09,2289.7,246.2,232.0
2017 / 11,06,2888.7,571.6,435.5
2017 / 12,10,2738.1,308.6,254.1
2017 / 12,12,4748.1,494.4,499.5
2017 / 12,01,1348.5,428.5,256.8
2017 / 12,11,2227.5,228.5,187.1
2018 / 01,09,2211.5,253.1,244.0
2018 / 02,02,1779.9,401.9,301.3
2018 / 03,03,2873.9,365.5,338.1
2018 / 03,06,2847.5,612.7,463.5
2018 / 03,02,1938.3,425.8,316.6
2018 / 04,10,2618.7,233.5,227.5
2018 / 04,06,2690.6,494.9,370.3
2018 / 04,05,1252.8,256.2,159.7
2018 / 07,04,2342.2,444.5,349.7
2018 / 08,03,3171.1,375.6,347.0
2018 / 11,08,5519.7,1366.3,853.0
2018 / 12,05,1302.5,285.3,161.9
2018 / 12,03,2888.3,337.6,301.9
2018 / 12,06,2855.8,640.2,423.6
2019 / 01,05,1306.3,330.3,220.1
2019 / 01,09,2213.9,269.6,271.3
2019 / 02,10,2356.6,228.1,237.8
2019 / 03,06,2757.4,567.0,431.6
2019 / 03,11,2257.8,204.5,186.2
2019 / 04,08,5357.7,1172.6,795.1
2019 / 04,11,2348.2,206.4,183.8
2019 / 05,06,3033.4,649.9,471.7
2019 / 05,12,4988.8,495.1,550.9
2019 / 06,06,2807.7,569.7,402.9
2019 / 06,01,1373.5,428.5,254.5
2019 / 07,02,1874.7,459.8,335.6
2019 / 08,06,2850.9,632.0,456.9
2019 / 08,04,2356.8,557.6,435.3
2019 / 09,10,2560.7,250.9,236.8
2019 / 09,05,1279.8,288.2,164.7
2019 / 10,01,1359.0,433.8,265.6
2019 / 10,10,2476.4,256.8,246.7
2019 / 10,03,2853.1,340.1,310.2
2019 / 11,06,2859.2,560.4,413.0
2019 / 11,01,1396.7,426.4,260.9
2019 / 12,04,2359.9,537.4,391.0
2019 / 12,10,2712.6,291.2,260.2
2019 / 12,02,1885.9,525.5,340.4
2020 / 04,08,3609.6,856.8,790.8
2020 / 04,02,1259.9,316.3,308.2
2020 / 05,03,2674.8,292.0,346.9
2020 / 05,11,2158.3,218.7,219.7
2020 / 07,03,3056.7,380.5,394.2
2020 / 07,06,2670.1,528.7,456.1
2020 / 07,10,3011.6,326.4,325.3
2020 / 08,03,3037.6,345.7,332.7
2020 / 08,08,4348.4,866.6,722.1
2020 / 10,06,2851.2,621.8,482.4
2020 / 10,03,2911.0,413.2,359.6
2020 / 11,06,2567.4,456.3,356.0
2020 / 11,12,4980.6,432.5,474.8
2020 / 12,11,2322.7,276.6,235.9
2020 / 12,10,2843.8,368.7,322.5
2020 / 12,01,1252.2,401.5,268.2
2020 / 12,07,4467.1,1168.4,844.0
2021 / 01,06,2465.9,546.6,442.4
2021 / 01,05,1120.7,260.9,182.2
2021 / 02,02,1656.5,385.4,282.3
2021 / 03,03,2870.2,363.5,322.4
2021 / 03,06,2721.4,501.2,391.6
2021 / 04,10,2667.2,304.7,286.8
2021 / 04,07,4277.0,1031.1,777.6
2021 / 04,06,2606.9,584.0,443.8
2021 / 04,01,1250.6,413.0,273.4
2021 / 06,03,3017.9,403.8,318.2
2021 / 06,08,5024.9,1129.1,743.6
2021 / 06,06,2877.2,551.6,378.8
2021 / 08,05,1263.9,290.4,170.6
2021 / 08,03,2862.9,362.7,268.0
2021 / 09,07,4554.8,1142.5,707.2
2021 / 09,08,4953.4,1228.1,728.1
2021 / 10,03,2919.1,395.7,290.4
2021 / 11,01,1463.4,354.9,217.9
2021 / 11,12,5109.2,408.6,431.6
2021 / 12,10,2707.1,335.5,296.4
2021 / 12,05,1332.2,326.7,201.2
2022 / 01,12,4142.0,402.5,453.5
2022 / 01,04,2225.1,421.0,321.3
2022 / 02,03,2612.4,345.0,294.5
2022 / 03,11,2422.5,221.3,196.4
2022 / 03,10,2627.0,266.3,254.8
2022 / 04,11,2275.0,193.2,166.0
2022 / 05,12,4425.7,412.1,445.0
2022 / 05,07,4405.9,926.4,695.1
2022 / 05,09,2147.2,233.9,238.2
2022 / 08,12,4667.4,415.3,474.2
2022 / 08,09,2157.7,237.1,238.2
2022 / 08,05,1285.6,276.1,172.3
2022 / 09,08,4806.5,1087.6,704.5
2022 / 09,12,4488.5,425.8,468.5
2022 / 10,11,2366.8,195.9,173.0
2022 / 11,03,2756.2,298.8,252.9
2022 / 11,10,2651.9,239.4,222.9
2022 / 11,02,1900.8,426.4,293.3
2022 / 11,05,1280.8,277.4,186.7
2022 / 12,08,4948.8,1262.6,833.4
2023 / 01,10,2554.2,248.7,231.3
2023 / 02,12,3869.4,343.6,407.7
2023 / 03,11,2383.2,210.3,180.6
2023 / 03,12,4471.7,424.3,487.9
2023 / 04,11,2200.7,189.6,166.9
2023 / 04,05,1190.9,222.7,151.4
2023 / 05,08,5012.4,992.3,724.5
2023 / 05,01,1437.0,323.7,224.5
2023 / 06,08,4820.6,988.0,714.6
2023 / 08,06,2803.3,518.5,369.8
2023 / 08,12,4505.1,436.4,509.2
2023 / 08,11,2316.6,224.2,186.7
2023 / 09,05,1296.0,269.0,156.9
2023 / 10,03,2655.0,300.1,235.1
2023 / 11,11,2328.6,220.2,181.0
2023 / 11,09,2096.1,218.4,226.8
2023 / 11,05,1270.8,259.5,159.4
2023 / 12,04,2316.5,524.6,359.0
1990 / 09,03,3447.0,,
1990 / 09,08,6236.6,,
1990 / 11,07,5814.6,,
1990 / 11,03,3651.2,,
1990 / 12,04,2021.4,,
1990 / 12,12,6578.4,,
1990 / 12,05,1404.2,,
1991 / 01,11,3256.8,,
1991 / 01,03,3813.5,,
1991 / 02,02,2665.2,,
1991 / 02,01,672.1,,
