MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1998 / 02,01,4198.3,632.1,445.8
1998 / 04,01,4984.2,716.3,512.1
1998 / 06,04,4396.1,408.9,352.6
1998 / 07,07,6546.4,1055.9,782.0
1998 / 07,11,3575.8,657.5,354.1
1998 / 07,14,2943.7,257.3,245.9
1998 / 08,14,2647.9,228.2,227.4
1998 / 08,06,2799.8,463.3,258.7
1998 / 10,10,3807.4,556.5,453.8
1998 / 12,07,6024.6,1275.1,706.2
1999 / 01,10,3194.8,529.5,417.0
1999 / 02,02,2193.1,328.4,266.9
1999 / 02,03,3631.4,368.4,371.2
1999 / 04,05,4409.1,947.4,701.2
1999 / 04,01,4779.3,700.2,569.3
1999 / 05,01,4812.1,755.0,562.9
1999 / 05,02,2470.5,382.9,303.0
1999 / 06,11,3876.2,793.4,406.5
1999 / 08,13,6198.7,727.0,717.8
1999 / 08,05,4421.8,888.0,715.9
1999 / 10,10,3753.8,653.2,535.4
1999 / 10,04,3951.0,522.9,471.5
1999 / 11,08,3364.0,674.1,315.2
1999 / 11,02,2563.9,462.3,336.4
1999 / 11,07,5722.9,1179.0,652.6
1999 / 11,13,5031.3,792.0,660.2
1999 / 11,03,4502.0,468.9,486.8
1999 / 12,06,2915.6,754.6,348.5
2000 / 01,03,3936.6,446.1,499.5
2000 / 01,10,3030.9,484.6,464.7
2000 / 02,07,5071.8,1098.9,648.3
2000 / 02,13,4256.3,798.4,670.6
2000 / 02,02,2267.3,421.4,336.3
2000 / 03,11,3033.8,787.1,379.8
2000 / 03,03,4375.1,509.4,542.3
2000 / 04,07,5617.6,1130.6,684.4
2000 / 05,13,7293.2,884.6,857.9
2000 / 05,07,7068.8,1207.0,757.7
2000 / 05,08,4079.5,695.8,385.8
2000 / 06,13,7122.6,963.1,943.2
2000 / 06,05,4833.3,1030.5,815.4
2000 / 07,14,2823.7,294.6,289.1
2000 / 09,08,3555.4,699.4,380.5
2000 / 09,13,5827.7,887.5,832.3
2000 / 09,05,4536.8,1005.6,796.0
