MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1999 / 10,09,4309.2,195.0,290.8
1999 / 12,02,1419.3,87.0,164.1
2000 / 01,08,2307.1,110.3,303.2
2000 / 01,04,3993.9,41.9,240.0
2000 / 02,09,3908.4,175.3,287.8
2000 / 02,11,2435.2,379.1,327.4
2000 / 03,04,4127.9,140.3,275.5
2000 / 04,05,3283.4,190.3,340.3
2000 / 04,04,3880.6,168.8,307.7
2000 / 05,01,1932.3,77.2,124.7
2000 / 06,02,1408.7,73.8,169.0
2000 / 06,10,2561.7,510.4,425.9
2000 / 07,04,4290.4,129.2,307.2
2000 / 07,01,1882.4,73.4,135.1
2000 / 08,07,3840.1,276.4,551.5
2000 / 08,06,2211.4,88.9,192.9
2000 / 08,09,4717.0,221.6,387.9
2000 / 09,09,4489.9,226.8,366.5
2000 / 10,10,2379.2,474.8,367.2
2000 / 11,11,2873.4,461.0,387.4
2000 / 11,03,1873.0,67.1,108.8
2000 / 11,02,1394.0,69.0,139.0
2001 / 01,12,3363.3,479.8,590.1
2001 / 01,05,3627.6,188.9,403.6
2001 / 03,05,3453.9,188.1,396.9
2001 / 03,06,2046.3,99.0,175.4
2001 / 05,07,3940.8,296.3,533.6
2001 / 05,02,1479.1,73.3,145.2
2001 / 06,08,2655.2,436.9,317.8
2001 / 07,04,4403.8,144.6,317.7
2001 / 08,11,3104.0,397.7,426.1
2001 / 08,09,4654.1,204.3,373.1
2001 / 08,07,3860.4,251.5,570.2
2001 / 09,01,1864.6,74.7,117.5
2001 / 09,06,2059.7,80.2,165.1
2001 / 11,11,2823.1,430.2,380.9
2001 / 12,03,1903.5,75.2,109.7
2002 / 01,10,2234.7,482.0,388.9
2002 / 01,08,2588.6,431.8,374.6
2002 / 01,02,1448.0,61.9,136.8
2002 / 02,08,2195.4,351.1,281.5
2002 / 03,08,2433.9,389.6,304.0
2002 / 04,09,4616.0,202.5,349.6
2002 / 04,11,3081.5,395.3,389.9
2002 / 05,03,2004.0,74.0,114.0
2002 / 05,08,2757.0,420.0,330.7
2002 / 06,06,2206.8,101.6,184.2
2002 / 06,01,1933.5,82.3,118.2
2002 / 07,06,2576.1,77.9,
2002 / 09,03,1971.5,46.9,
2002 / 11,08,3092.4,379.1,
2002 / 11,07,4519.7,203.1,
2002 / 11,04,4651.8,131.5,
2003 / 01,09,4715.7,166.3,
2003 / 01,04,4483.7,136.2,
2003 / 01,05,3831.9,130.2,
2003 / 02,10,2084.2,277.9,
2003 / 02,05,3499.6,92.5,
2003 / 03,06,2435.7,80.0,
2003 / 04,09,4906.7,160.0,
2003 / 04,07,4316.4,195.3,
2003 / 05,09,5312.9,178.2,
2003 / 05,05,4168.7,137.8,
2003 / 06,09,5316.7,182.5,
2003 / 06,02,1756.1,52.0,
2003 / 07,02,1779.1,57.8,
2003 / 07,01,2179.3,53.9,
2003 / 07,11,3838.5,298.7,
2003 / 09,12,4694.1,373.7,
2003 / 09,09,4951.2,163.1,
2003 / 09,11,3677.8,402.6,
2003 / 09,02,1797.4,48.0,
2003 / 09,06,2662.8,77.0,
2003 / 10,12,4419.5,383.6,
2003 / 10,08,3009.2,413.0,
2003 / 11,11,3452.7,347.6,
2003 / 11,01,1921.1,43.7,
2003 / 11,10,2993.8,431.5,
2003 / 11,05,3830.7,133.8,
2003 / 11,07,4222.4,196.1,
2004 / 01,09,4262.2,151.1,
2004 / 01,04,4346.5,107.8,
2004 / 02,11,2786.3,317.1,
2004 / 03,02,1723.6,46.8,
2004 / 03,10,2822.4,375.8,
2004 / 04,08,2711.3,443.5,263.0
2004 / 04,03,1703.3,56.3,65.7
2004 / 07,08,2696.6,433.8,300.9
2004 / 08,12,4438.0,432.2,512.2
2004 / 08,03,1837.4,48.0,69.1
2004 / 09,02,1674.4,65.2,92.8
2004 / 10,09,4480.3,219.9,251.5
2004 / 10,05,3631.9,175.7,316.6
2004 / 10,01,1733.3,72.9,83.9
2004 / 10,11,3142.8,404.0,303.9
2004 / 11,08,2703.2,418.8,264.4
2004 / 11,06,2389.6,76.5,104.1
2004 / 12,12,3827.0,546.0,483.4
2004 / 12,11,3093.5,474.4,320.0
2005 / 02,01,1646.1,64.5,77.5
2005 / 02,11,2470.1,341.4,265.4
2005 / 04,01,1857.2,70.5,82.3
2005 / 06,07,4216.5,295.9,376.1
2005 / 06,06,2532.0,108.3,160.8
2005 / 07,07,3948.9,247.8,348.8
2005 / 08,08,2645.7,398.3,296.3
2005 / 09,07,3851.2,238.8,359.6
2005 / 10,04,4646.5,158.9,205.2
2005 / 10,05,3748.0,180.2,316.6
