MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
1997 / 02,07,2949.6,240.8,264.3
1997 / 02,06,2567.4,500.0,263.6
1997 / 03,16,2079.8,47.1,58.3
1997 / 04,07,3573.2,266.7,286.6
1997 / 04,05,4874.5,154.0,237.8
1997 / 05,06,3100.9,581.2,319.8
1997 / 06,17,5328.2,239.5,242.9
1997 / 07,05,5409.2,147.2,265.6
1997 / 07,09,3338.3,133.6,141.3
1997 / 08,11,4812.9,522.3,338.3
1997 / 08,06,2884.5,541.0,317.9
1997 / 09,13,2413.6,147.2,103.4
1997 / 09,01,4814.7,263.3,260.2
1997 / 09,03,4616.9,145.1,191.6
1997 / 09,12,5476.6,597.1,367.4
1997 / 09,11,4943.3,656.4,348.9
1997 / 09,16,2253.0,60.6,72.3
1997 / 10,03,4399.3,163.6,220.2
1997 / 10,05,4625.8,203.3,299.9
1997 / 10,16,2186.0,69.6,86.5
1997 / 10,10,3267.0,707.4,377.0
1997 / 11,14,4777.4,473.3,316.1
1997 / 12,15,4655.7,836.9,402.0
1997 / 12,10,3373.5,717.5,378.3
1997 / 12,14,5091.0,495.4,331.4
1997 / 12,07,3364.4,441.0,380.1
1997 / 12,04,3098.3,116.6,205.9
1997 / 12,09,3388.3,204.2,212.1
1998 / 01,09,3023.7,221.2,231.8
1998 / 01,06,2915.3,714.7,374.5
1998 / 02,07,2836.9,330.9,330.0
1998 / 02,12,4583.5,590.5,399.7
1998 / 02,05,3897.1,174.8,273.9
1998 / 02,04,2591.0,100.9,199.9
1998 / 02,09,2626.6,176.4,179.9
1998 / 03,14,4645.0,496.7,336.5
1998 / 04,01,4929.7,374.3,394.0
1998 / 04,11,4622.8,745.7,472.1
1998 / 04,18,5622.0,840.6,543.2
1998 / 05,05,4792.9,230.1,358.2
1998 / 06,08,3120.6,171.3,184.0
1998 / 06,07,3533.1,404.8,403.7
1998 / 06,18,6053.2,888.5,622.9
1998 / 07,03,4594.9,156.2,279.0
1998 / 08,06,2810.7,577.7,337.5
1998 / 08,13,2271.2,146.1,144.6
1998 / 09,07,3279.3,416.9,430.3
1998 / 09,08,2984.2,208.8,227.2
1998 / 10,16,2227.5,87.9,117.5
1998 / 11,18,4965.3,816.9,508.4
1998 / 11,03,4099.1,172.0,233.6
1998 / 11,10,3056.6,681.7,404.9
1998 / 12,01,4682.5,379.2,395.5
1998 / 12,05,4349.2,292.0,429.9
1999 / 01,18,4806.0,919.3,633.6
1999 / 01,11,4248.9,799.6,521.9
1999 / 01,12,4755.1,690.0,503.6
1999 / 01,15,4002.0,847.5,473.2
1999 / 01,01,4328.8,380.8,404.0
1999 / 02,06,2407.9,586.8,297.6
1999 / 02,07,2595.5,350.2,352.2
1999 / 03,18,5099.1,898.5,589.9
1999 / 04,03,4109.2,193.0,278.9
1999 / 04,11,4406.0,771.4,550.4
1999 / 04,05,4233.0,249.9,433.5
